Country Name,Country Code,Continent,SP.DYN.LE00.IN,EG.ELC.ACCS.ZS,NY.ADJ.NNTY.KD.ZG,NY.ADJ.NNTY.PC.KD.ZG,SH.HIV.INCD.14,SE.PRM.UNER,SE.PRM.CUAT.ZS,SE.TER.CUAT.BA.ZS,SP.DYN.IMRT.IN,SE.PRM.CMPT.ZS,SE.ADT.LITR.ZS,FR.INR.RINR,SP.POP.GROW,EN.POP.DNST,SP.POP.TOTL,SH.XPD.CHEX.PC.CD,SH.XPD.CHEX.GD.ZS,SL.UEM.TOTL.NE.ZS,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,SP.DYN.CBRT.IN,EG.FEC.RNEW.ZS,SH.HIV.INCD,SH.H2O.SMDW.ZS,SI.POV.LMIC,SE.COM.DURS
Azerbaijan,AZE,Asia,73.005,100,NA,NA,100,55687,98.51100159,15.72202969,18.2,100.3833389,99.79598236,17.56490854,0.846646726,121.2800711,10024283,193.1088409,4.03829002,4.849999905,2.5,4805.753718,14.1,NA,500,87.74410931,NA,10
"Bahamas, The",BHS,North America,73.918,100,6.626098638,5.571844812,NA,NA,NA,NA,14.5,NA,NA,2.377772298,0.99365949,38.90969031,389486,2004.616333,5.74977493,NA,0.702459097,33799.41769,13.882,NA,100,NA,NA,12
Bahrain,BHR,Asia,77.292,100,0.076808284,-4.296861257,NA,2770,NA,NA,5.9,100.241188,NA,NA,4.468687834,2104.05641,1641164,940.3956909,4.01147509,NA,2.141376784,23551.93009,13.622,NA,NA,98.98326213,NA,9
Bangladesh,BGD,Asia,72.591,92.2,7.498908085,6.398206831,NA,NA,61.0552597,9.760549545,25.5,NA,74.6844635,4.879314996,1.029196649,1252.563363,163046173,45.85716248,2.48357606,NA,8.152684149,1855.740094,17.868,NA,NA,58.04326337,NA,5
Barbados,BRB,North America,79.19,100,NA,NA,NA,212,NA,NA,11.7,90.09367371,NA,5.407557599,0.132831082,667.4906977,287021,1143.322021,6.29990387,8.409999847,-0.096135553,18148.49785,10.621,NA,NA,NA,NA,11
Belarus,BLR,Europe,74.22682927,100,0.519450449,0.722490016,NA,NA,99.78855133,28.30353928,2.4,NA,99.87400055,0.365104131,-0.201786601,46.40732092,9419758,399.3970947,5.86133957,4.159999847,1.4,6837.717826,9.3,NA,1200,94.58659114,0,9
Belgium,BEL,Europe,81.74634146,100,2.451016187,1.898801662,NA,7160,96.74236298,35.30400848,3.4,NA,NA,NA,0.540461327,379.4247028,11488980,4960.393555,10.65604973,5.360000134,2.149559681,46591.49161,10.1,NA,NA,99.91381172,NA,12
Belize,BLZ,North America,74.623,92.72,0.936786211,-0.945672918,NA,221,NA,NA,10.6,102.8469315,NA,7.259708173,1.882598378,17.11315213,390351,293.4125977,5.96689224,9.050000191,1.762797913,5078.809944,20.51,NA,200,NA,NA,8
Benin,BEN,Africa,61.771,40.31874084,8.273153845,5.372854009,810,120970,NA,NA,57.9,64.43959808,NA,NA,2.71521855,104.6572455,11801151,29.12529182,2.38842916,NA,6.865687336,1219.515506,35.831,NA,1700,NA,NA,6
Bermuda,BMU,North America,81.86658537,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.009387321,1183.574074,63913,NA,NA,NA,0.459889943,117098.4463,8.3,NA,NA,NA,NA,13
Bhutan,BTN,Asia,71.777,100,5.65225706,4.447997386,NA,NA,NA,NA,23.9,76.99398041,NA,12.98421102,1.146379252,20.00770844,763094,115.9807587,3.60761595,NA,5.755169995,3322.863329,17.012,NA,100,36.48847773,NA,NA
Bolivia,BOL,South America,71.513,96.30310059,3.33410878,1.898394,100,74910,97.61760712,24.70529938,21.5,91.60414886,NA,9.155986432,1.399133355,10.62780578,11513102,245.9234772,6.9233799,3.819999933,2.216705778,3552.068143,21.455,NA,1000,NA,7.8,14
Bosnia and Herzegovina,BIH,Europe,77.401,100,3.736407888,4.457032247,NA,NA,NA,NA,5.1,NA,NA,0.639203616,-0.692266996,64.47261719,3300998,553.822937,9.04909897,15.68999958,2.831002603,6119.762345,7.938,NA,NA,88.8597832,NA,9
Botswana,BWA,Africa,69.592,70.18318176,2.293563164,0.089527618,500,NA,NA,NA,36.9,NA,NA,5.923783109,2.178168817,4.064903923,2303703,481.5330505,6.04836559,22.61000061,2.992737635,7203.064221,24.234,NA,8400,NA,NA,NA
Brazil,BRA,South America,75.881,99.8,1.188818739,0.431183891,NA,80305,NA,NA,13.3,NA,NA,31.83192759,0.751550842,25.25077577,211049519,853.3879395,9.5912714,12.05000019,1.411152985,8897.552966,13.703,NA,NA,85.06008273,9.1,14
British Virgin Islands,VGB,North America,NA,100,NA,NA,NA,NA,NA,NA,NA,81.84143066,NA,NA,0.795618291,200.22,30033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
Brunei Darussalam,BRN,Asia,75.86,100,5.543109403,4.486937819,NA,225,NA,NA,9.6,100.0980072,NA,9.140679846,1.005742274,82.21935484,433296,671.5626831,2.16031361,6.920000076,3.869109865,31085.96193,14.459,NA,NA,NA,NA,9
Bulgaria,BGR,Europe,74.91463415,100,7.659126449,8.419618547,NA,43662,NA,NA,5.5,84.97651672,NA,-0.653393683,-0.703905641,64.25719418,6975761,697.8963623,7.12611389,4.230000019,4.037592082,9879.268533,8.8,NA,NA,97.54309929,NA,11
Burkina Faso,BFA,Africa,61.577,18.3791523,10.78262622,7.675706675,1100,748275,NA,NA,54.1,64.54945374,NA,NA,2.844596498,74.27406067,20321383,42.3445282,5.46494246,NA,5.688115149,796.1152068,37.453,NA,1000,NA,NA,10
Burundi,BDI,Africa,61.584,11.0647974,6.270332474,2.996688011,920,140973,NA,NA,39.9,59.37641907,NA,13.59926674,3.128932148,449.0100078,11530577,20.56754112,7.99091434,NA,1.842476677,228.2135892,38.377,NA,1000,NA,NA,NA
Cabo Verde,CPV,Africa,72.981,95.53353882,5.856782725,4.668738911,NA,4792,NA,NA,12.8,99.99017334,NA,8.529832858,1.128657862,136.4605459,549936,177.8902741,4.93621731,11.28999996,5.66775246,3603.775241,19.061,NA,NA,NA,NA,10
Cambodia,KHM,Asia,69.823,93,9.83288816,8.255686175,200,190043,NA,NA,22.9,91.02736664,NA,NA,1.446411842,93.39758668,16486542,113.3104401,6.98908329,1.220000029,7.054106932,1643.121389,22.02,NA,1000,27.19867199,NA,NA
Cameroon,CMR,Africa,59.292,63.45231247,6.821525406,4.096428341,4900,346513,NA,NA,49.9,65.49803925,NA,NA,2.584178982,54.7405111,25876387,53.99584961,3.59539533,NA,3.475059979,1533.095688,34.891,NA,11000,NA,NA,6
Canada,CAN,North America,82.04878049,100,2.354527963,0.916395238,NA,6652,NA,NA,4.4,NA,NA,NA,1.4150147,4.193074187,37593384,5048.372559,10.84447765,5.659999847,1.879592028,46338.34096,9.9,NA,NA,99.03861451,NA,10
Cayman Islands,CYM,North America,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.201997124,270.6166667,64948,NA,NA,NA,3.817100404,91392.64259,9.8,NA,NA,NA,NA,12
Central African Republic,CAF,Africa,53.283,14.3,7.250522404,5.469394618,NA,NA,NA,NA,79.1,NA,NA,NA,1.674661628,7.616904234,4745179,37.19958115,7.75300884,NA,3,467.9080323,35.09,NA,NA,6.283710956,NA,10
Chad,TCD,Africa,54.239,8.4,5.046010902,1.955572204,1100,723879,NA,NA,69,NA,NA,NA,2.986130147,12.66429638,15946882,29.85083008,4.3536315,NA,3.247181917,709.5400432,41.665,NA,2700,5.58120967,NA,10
Channel Islands,CHI,Europe,83.086,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.031634777,870.020202,172264,NA,NA,NA,NA,NA,9.811,NA,NA,NA,NA,NA
Chile,CHL,South America,80.181,100,4.404174384,3.176419479,NA,7009,NA,NA,6,98.24701691,NA,NA,1.182932566,25.48919885,18952035,1375.802979,9.33272362,7.289999962,0.942005307,14741.7144,12.187,NA,4500,98.77136217,NA,12
China,CHN,Asia,76.912,100,5.081705512,4.709598133,NA,NA,NA,NA,5.9,NA,NA,3.023620261,0.35474089,149.3675732,1407745000,535.1333618,5.3502779,5.150000095,5.949714233,10143.83817,10.5,NA,NA,NA,NA,9
Colombia,COL,South America,77.287,99.7662735,2.926321559,1.539260552,200,35080,79.91538239,12.06795979,11.7,106.7657318,95.24926758,7.459179137,1.356788043,45.37128707,50339443,495.3297119,7.70943594,9.960000038,3.281116805,6424.979492,14.655,NA,8600,72.95185947,12.7,12
Comoros,COM,Africa,64.321,84.04824066,NA,NA,NA,NA,NA,NA,48.7,NA,NA,6.249821596,2.206465058,457.222461,850891,72.32379913,5.17030334,NA,1.75532828,1401.542312,31.407,NA,100,NA,NA,6
"Congo, Dem. Rep.",COD,Africa,60.681,19.1,19.93404581,16.17191395,8700,NA,NA,NA,65.5,NA,NA,21.85419754,3.187086265,38.28348206,86790568,20.57073212,3.53626084,NA,4.384528881,580.7168706,40.639,NA,12000,18.42751354,NA,6
"Congo, Rep.",COG,Africa,64.57,48.32972336,-30.79202146,-32.54316659,2100,NA,NA,NA,35.9,NA,NA,NA,2.562826461,15.7555022,5380504,48.55877304,2.08331084,NA,-0.086885957,2369.729494,32.397,NA,7100,45.7164676,NA,10
Costa Rica,CRI,North America,80.279,99.71,1.304720561,0.338990668,100,555,NA,NA,7.2,102.7380524,NA,6.427500485,0.957865009,98.85548374,5047561,921.5857544,7.27393246,11.48999977,2.256315079,12693.82796,13.689,NA,1400,80.52068236,3.2,13
Cote d'Ivoire,CIV,Africa,57.783,68.55010986,5.862637306,3.197900449,1100,199358,NA,NA,59.4,78.75084686,89.89341736,NA,2.549387092,80.86966667,25716554,75.08779144,3.29862952,NA,6.231709513,2276.332394,35.464,NA,5200,35.13922044,NA,10
Croatia,HRV,Europe,78.42439024,100,3.161231944,3.734483407,NA,3739,NA,NA,3.9,94.53153992,NA,NA,-0.554146739,71.83694999,4065253,1040.085693,6.97861767,6.619999886,3.481945603,15311.7669,8.9,NA,100,NA,NA,8
Cuba,CUB,North America,78.802,99.8,NA,NA,100,5703,NA,NA,4.2,86.53215027,NA,NA,-0.041126289,109.1857803,11333484,1031.921753,11.34020519,NA,-0.164839982,9125.878679,9.962,NA,1800,NA,NA,9
Curacao,CUW,North America,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.196439518,354.5968468,157441,NA,NA,NA,-3.399999927,19701.27038,10.1,NA,NA,NA,NA,14
Cyprus,CYP,Asia,80.982,100,3.478797,2.084455784,NA,295,NA,NA,2.3,102.5455017,NA,NA,0.779957016,129.7158009,1198574,1996.458252,7.00903225,7.070000172,5.283187396,29206.07672,10.24,NA,NA,99.76519248,NA,10
Czech Republic,CZE,Europe,79.12926829,100,1.78987545,1.389826446,NA,5000,99.86148071,20.91090012,2.4,101.4376526,NA,-0.196111565,0.393788864,138.236658,10671870,1844.217773,7.83470726,2.00999999,3.029478257,23660.14881,10.5,NA,NA,97.88204972,NA,9
Denmark,DNK,Europe,81.20243902,100,3.989327963,3.617576106,NA,3152,NA,NA,3.2,101.8970795,NA,NA,0.358130916,145.36055,5814422,6003.325195,9.95583057,5.019999981,2.114664208,59775.7351,10.5,NA,200,96.73206603,NA,10
Djibouti,DJI,Africa,67.112,61.27593613,NA,NA,100,30090,NA,NA,48.6,65.57845306,NA,NA,1.514559503,41.99987058,973557,61.80943298,1.79826784,NA,7.770497257,3414.916178,20.998,NA,100,NA,NA,10
Dominica,DMA,North America,NA,100,NA,NA,NA,228,NA,NA,31.2,NA,NA,4.159198731,0.253775392,95.744,71808,440.1698608,5.46006632,NA,7.571391597,8516.280039,NA,NA,NA,NA,NA,12
Dominican Republic,DOM,North America,74.081,100,6.157405745,5.052134578,200,45804,NA,NA,28.3,93.30409241,NA,NA,1.046620579,222.2926309,10738957,491.0593567,5.929142,6.179999828,5.05216802,8282.117131,19.193,NA,3100,NA,2.7,15
Ecuador,ECU,South America,77.01,100,-0.961233126,-2.610380291,100,27680,NA,NA,11.6,101.4974976,NA,NA,1.679172693,69.95352311,17373657,486.492157,7.81824684,3.809999943,0.012105103,6222.524653,19.46,NA,2000,66.60985564,9.8,15
"Egypt, Arab Rep.",EGY,Africa,71.99,100,5.046602541,2.990966776,100,90674,NA,NA,17.2,104.6092987,NA,2.195073699,1.976280224,100.8469295,100388076,149.8403168,4.73997355,7.849999905,5.557683888,3019.092283,25.708,NA,2700,NA,NA,12
El Salvador,SLV,North America,73.317,100,5.919109952,5.380614706,100,109486,61.54618073,8.33701992,11.5,NA,89.13791656,NA,0.509699114,311.4647683,6453550,300.0532837,7.16578436,4.170000076,2.382581398,4167.730939,18.054,NA,1000,NA,5.7,15
Equatorial Guinea,GNQ,Africa,58.735,66.59217834,-14.37866468,-17.34741552,NA,NA,NA,NA,60,NA,NA,NA,3.528840253,48.34160428,1355982,254.891098,3.13503671,NA,-5.978936905,8419.933336,32.783,NA,NA,NA,NA,6
Eritrea,ERI,Africa,66.321,50.38573074,NA,NA,100,NA,NA,NA,30.5,NA,NA,NA,NA,34.62492079,NA,25.2679348,4.45876694,NA,NA,NA,29.738,NA,200,NA,NA,8
Estonia,EST,Europe,78.49756098,100,4.04224756,3.656391299,NA,2281,NA,NA,1.8,97.43179321,NA,NA,0.371554389,30.52445365,1326898,1598.818848,6.7304492,4.449999809,4.096342644,23397.12001,10.6,NA,200,95.7942355,NA,9
Eswatini,SWZ,Africa,60.194,77.16963959,-3.28117031,-4.280173563,500,31402,NA,NA,37.7,88.59642792,NA,7.45021829,1.038265645,66.7519186,1148133,264.0551453,6.78069067,NA,2.61303529,3915.643467,25.881,NA,4900,NA,NA,7
Ethiopia,ETH,Africa,66.597,48.2716217,27.66215549,24.41097419,3300,NA,NA,NA,36.6,67.74021149,NA,NA,2.579697088,99.24615983,112078727,26.74220467,3.23808599,NA,8.364085699,855.7608852,31.896,NA,9000,12.02134693,NA,8
Faroe Islands,FRO,Europe,82.74634146,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.370469891,34.86891117,48677,NA,NA,NA,NA,64225.2649,13.2,NA,NA,NA,NA,9
Fiji,FJI,Australia/Oceania,67.444,100,NA,NA,NA,NA,NA,NA,22.6,108.8697662,NA,3.567570151,0.729092657,48.71127531,889955,235.6750183,3.81607008,NA,-0.445563044,6175.890653,20.954,NA,200,NA,NA,NA
Finland,FIN,Europe,81.78536585,100,1.104700937,0.993353317,NA,6961,NA,25.93508911,1.9,100.9760818,NA,NA,0.11019169,18.16795867,5521606,4450.302734,9.15348339,6.690000057,1.220754143,48628.64176,8.3,NA,NA,99.6361511,NA,10
France,FRA,Europe,82.57804878,100,1.145566719,0.924477779,NA,226,97.67228699,19.70054054,3.4,NA,NA,NA,0.218824149,122.8163022,67248926,4491.735352,11.05747223,8.409999847,1.842971814,40578.64429,11.2,NA,NA,99.24883091,NA,10
French Polynesia,PYF,Australia/Oceania,77.657,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.578860345,79.34232955,279285,NA,NA,NA,2.970024911,NA,14.427,NA,NA,84.64958597,NA,NA
Gabon,GAB,Africa,66.467,90.68525696,6.752018976,4.132917214,500,NA,NA,NA,31.5,78.42915344,NA,NA,2.484043179,8.431629604,2172578,215.0191498,2.76836205,NA,3.920808795,7766.996554,30.968,NA,1000,NA,NA,10
"Gambia, The",GMB,Africa,62.05,59.92128754,7.334499941,4.243707294,500,54332,NA,NA,35.6,78.94251251,NA,20.4621692,2.921862866,231.9857708,2347696,29.72580338,3.82171082,NA,6.15363195,772.0459142,38.073,NA,1600,43.98032009,NA,9
Georgia,GEO,Asia,73.767,100,9.055354493,9.242616712,100,1998,99.18689728,33.66769028,8.4,92.82787323,99.55844116,5.346402405,-0.17156574,65.08556982,3720161,291.1220398,6.65744257,11.56999969,4.982350475,4697.983652,13.2,NA,1000,66.12228848,14.9,9
Germany,DEU,Europe,80.94146341,100,0.746613813,0.519666178,NA,28845,NA,NA,3.2,99.01779938,NA,NA,0.225519874,237.8297613,83092962,5440.251465,11.69724941,3.140000105,1.055508247,46794.89929,9.4,NA,2300,99.9930255,NA,13
Ghana,GHA,Africa,64.074,83.5,8.851022566,6.522298336,4000,35432,NA,NA,34,NA,NA,NA,2.162584462,133.6813659,30417858,75.28166199,3.41858864,NA,6.507774794,2246.625578,28.992,NA,16000,39.69790044,NA,11
Gibraltar,GIB,Europe,NA,100,NA,NA,NA,NA,NA,NA,NA,100.218338,NA,NA,-0.026697913,3370.6,33706,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,10
Greece,GRC,Europe,81.93902439,100,2.819564072,2.927930643,NA,5679,NA,NA,3.7,96.35045624,NA,NA,-0.105339393,83.17751746,10721582,1500.594971,7.83788586,17.30999947,1.803595256,19133.75776,7.8,NA,1000,100,NA,10
Greenland,GRL,North America,NA,100,NA,NA,NA,NA,100,10.44040966,NA,NA,NA,NA,0.359917714,0.136983798,56225,NA,NA,NA,1.67877331,53041.30331,15.1,NA,NA,96.74242638,NA,10
Grenada,GRD,North America,72.397,95.42874146,NA,NA,NA,NA,NA,NA,14.7,NA,NA,4.236629442,0.494964112,329.4176471,112002,534.2744141,4.96524,NA,0.7355827,10827.43529,16.198,NA,NA,NA,NA,12
Guam,GUM,Australia/Oceania,80.074,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.915743568,309.8055556,167295,NA,NA,NA,2.538991658,38040.58699,16.46,NA,NA,99.43870743,NA,0
Guatemala,GTM,North America,74.302,95.72457123,5.717601267,4.080801972,500,248887,50.80500031,4.322020054,20.7,79.13033295,NA,8.738593656,1.560386048,154.946118,16604026,271.0212708,6.21161032,2.190000057,3.866856575,4638.634943,24.21,NA,500,55.56753171,NA,16
Guinea,GIN,Africa,61.602,42.41838837,9.692440078,6.626556354,1300,NA,NA,NA,63.4,NA,NA,NA,2.834784817,51.97479245,12771246,43.03782272,3.98389959,5.019999981,5.646175568,1058.143368,35.965,NA,4500,NA,NA,6
Guinea-Bissau,GNB,Africa,58.322,31.0404129,1.473684859,-0.988677061,500,NA,NA,NA,53,NA,NA,NA,2.456528568,68.31141536,1920917,62.57557678,8.34976101,NA,4.499999992,749.453747,34.559,NA,1200,23.99068558,NA,9
Guyana,GUY,South America,69.906,92.02169037,NA,NA,100,NA,NA,NA,24.5,NA,NA,7.301542806,0.482526666,3.976504953,782775,325.8851624,4.93048668,13.52000046,5.352627426,6609.51128,19.723,NA,500,NA,NA,6
Haiti,HTI,North America,64.001,45.37134552,-0.97553443,-2.205493541,860,NA,NA,NA,47.8,NA,NA,-2.916995504,1.249854229,408.6748549,11263079,56.99440002,4.72808981,NA,-1.684595081,1312.770636,23.959,NA,4500,NA,NA,6
Honduras,HND,North America,75.27,92.77952576,2.951725821,1.276461359,100,151457,67.82389832,9.634989738,14.4,79.45810699,88.50743103,12.68883956,1.640617842,87.10443293,9746115,187.5543366,7.2839179,5.699999809,2.653066255,2556.456891,21.337,NA,1000,NA,29,12
"Hong Kong SAR, China",HKG,Asia,85.07804878,100,NA,NA,NA,NA,95.71556091,NA,NA,106.7327499,NA,2.995695325,0.75409492,7149.904762,7507400,NA,NA,2.930000067,-1.67975617,48354.47337,7,NA,NA,100,NA,9
Hungary,HUN,Europe,76.02195122,100,5.494864023,5.542617277,NA,20865,NA,NA,3.4,95.60597229,NA,-2.837863408,-0.04525571,107.0692636,9771141,1062.394165,6.35002232,3.420000076,4.554063072,16735.65978,9.5,NA,NA,92.57364823,NA,13
Iceland,ISL,Europe,82.56097561,100,8.958044201,6.588280852,NA,67,NA,36.14287949,1.6,100.9760437,NA,2.256986279,2.198932258,3.575949618,360563,6274.959473,8.63868046,3.50999999,2.434823,68941.46223,12.3,NA,100,99.99999775,NA,10
India,IND,Asia,69.656,97.81528473,3.307535488,2.266045681,NA,NA,NA,NA,28.3,91.66149139,NA,5.697090258,1.013261249,459.5796959,1366417756,63.74832153,3.0141468,5.269999981,4.041554187,2100.751461,17.644,NA,NA,NA,NA,8
Indonesia,IDN,Asia,71.716,98.85,4.161584601,3.024222153,3300,NA,NA,NA,20.2,NA,NA,8.629073729,1.097926437,144.1399885,270625567,120.1249619,2.90493584,3.589999914,5.018159715,4135.201531,17.746,NA,26000,NA,19.9,9
"Iran, Islamic Rep.",IRN,Asia,76.677,100,NA,NA,100,NA,NA,NA,11.5,NA,NA,NA,1.352289806,50.90614517,82913893,470.4346008,6.71061659,10.73999977,-6.78422367,3114.622753,18.42,NA,2100,93.84218326,NA,9
Iraq,IRQ,Asia,70.604,100,7.471735938,5.076273501,NA,NA,NA,NA,22,NA,NA,NA,2.254139075,90.54884504,39309789,253.3146362,4.47671509,NA,5.957327503,5980.626918,28.556,NA,NA,59.35663,NA,6
Ireland,IRL,Europe,82.30243902,100,6.022734439,4.582609163,NA,773,NA,NA,2.7,100.6323166,NA,NA,1.367626954,71.62636087,4934340,5428.588867,6.67931509,4.949999809,4.917006978,80886.61574,12.1,NA,500,97.33152113,NA,10
Isle of Man,IMN,Europe,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.611876546,148.4017544,84589,NA,NA,NA,0.25486132,86481.55259,NA,NA,NA,97.20756495,NA,NA
Israel,ISR,Asia,82.80487805,100,4.890155538,2.906811753,NA,4572,NA,NA,3,101.9708328,NA,1.618107035,1.90898264,418.3918669,9054000,3456.386963,7.46131897,3.799999952,3.77358981,43951.24773,20.1,NA,NA,99.3622324,NA,15
Italy,ITA,Europe,83.19756098,100,-0.023236864,1.136195077,NA,98239,NA,NA,2.6,97.63696289,NA,1.672123582,-1.153028424,200.6149229,59729081,2905.5,8.66856861,9.949999809,0.410278294,33641.63375,7,NA,2400,95.82368779,NA,12
Jamaica,JAM,North America,74.475,99.3837738,6.355273664,5.871020253,100,NA,NA,NA,11.8,76.91970062,NA,9.513194465,0.456356507,272.23241,2948277,327.4035339,6.09748316,4.989999771,0.892291654,5369.498371,15.907,NA,1500,NA,NA,6
Japan,JPN,Asia,84.35634146,100,0.170016054,0.379589787,NA,NA,NA,NA,1.8,NA,NA,NA,-0.208999473,346.4058464,126264931,4360.473633,10.74372482,2.400000095,0.270304645,40777.6087,7,NA,1000,98.56544671,NA,9
Jordan,JOR,Asia,74.526,100,3.653305881,2.253964801,NA,261790,NA,NA,13.3,81.67272186,NA,6.879444474,1.35921633,113.783476,10101697,334.04422,7.58246946,16.80999947,1.955466358,4405.487109,21.477,NA,100,83.53671981,NA,10
Kazakhstan,KAZ,Asia,73.18,100,8.372599065,6.983989883,100,12924,NA,NA,9,106.3773499,NA,NA,1.28960849,6.85767789,18513673,272.9652405,2.78745675,4.800000191,4.5,9812.595808,21.73,NA,2900,89.32126195,NA,9
Kenya,KEN,Africa,66.699,69.7,3.931875827,1.596408041,5500,NA,NA,NA,32,NA,NA,7.506384668,2.272746379,92.37440173,52573967,83.41162872,4.59182692,5.010000229,4.981132628,1912.647867,28.298,NA,28000,NA,NA,12
Kiribati,KIR,Australia/Oceania,68.369,100,NA,NA,NA,NA,NA,NA,40.3,NA,NA,NA,1.512986668,145.1950617,117608,172.3057404,10.26414394,8.600000381,3.926445438,1601.861869,27.453,NA,NA,14.4154879,NA,9
"Korea, Dem. People's Rep.",PRK,Asia,72.274,49.37275696,NA,NA,NA,NA,NA,NA,13.1,NA,NA,NA,0.455141902,213.1563658,25666158,NA,NA,NA,NA,NA,13.848,NA,NA,66.31141046,NA,12
"Korea, Rep.",KOR,Asia,83.22682927,100,-1.13755725,-1.333459724,NA,271,NA,NA,2.7,105.2397308,NA,4.321429493,0.198353208,530.2409557,51709098,2624.533203,8.1641655,3.75,2.24397786,31936.79635,5.9,NA,NA,99.09976941,NA,9
Kosovo,XKX,Europe,72.49512195,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.457730006,NA,1788878,NA,NA,26,4.756830619,4416.108358,15.6,NA,NA,NA,NA,NA
Kuwait,KWT,Asia,75.489,100,NA,NA,NA,NA,NA,NA,7.5,84.59255981,NA,6.23091103,1.672132226,236.0873737,4207077,1758.674194,5.49601221,NA,0.42746394,32373.25112,13.251,NA,NA,100,NA,9
